,House,Price,Ubication,Features
0,"Casa Fracc. Tejeda De 3 Rec. Y 2 Loft, Excelente Oportunidad","3,990,000","Tejeda Sn, Tejeda, Querétaro, QuerétaroVer información de la zona",[]
1,Casa Venta  Biogrand Juriquilla Queretaro,"3,300,000","Juriquilla, Querétaro, Querétaro","['Superficie total147 m²', 'Superficie construida144 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
2,Residencia En Altozano Qro.  Lago 01,"21,800,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
3,Residencia En Altozano Vista Plena Y Colindancia A Área Verde,"16,150,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total479 m²', 'Superficie construida403 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
4,"Casa En Condominio En Venta En Juriquilla, Querétaro, Querétaro","11,790,000","Montes Blancos, Cumbres De Juriquilla, Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total264 m²', 'Superficie construida343 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Mantenimiento0 MXN']"
5,Casa En Venta En Querétaro. Fraccionamiento Altozano.,"3,000,000","1a Cda. De Altozano, Altozano el Nuevo Querétaro, Querétaro, QuerétaroVer información de la zona","['Superficie total126 m²', 'Superficie construida147 m²', 'Recámaras3', 'Baños2', 'Estacionamientos0', 'Es propiedad en remateNo', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
6,Casa En Altozano Con 465 M2 De Construcción,"10,120,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total300 m²', 'Superficie construida370 m²', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad1 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
7,Residencia Premium En La Espiga Gran Jardín,"13,750,000","Fray Junípero Serra, Querétaro, QuerétaroVer información de la zona","['Superficie total465 m²', 'Superficie construida425 m²', 'Recámaras4', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad3 años', 'Ambientes8', 'Bodegas0', 'Mantenimiento0 MXN']"
8,"¡¡jb-hermosa Propiedad En Cumbres Del Lago Queretaro, Unica Oportunidad De Remate!!","8,750,000","Lago Yuriria 303, Cumbres Del Lago, Juriquilla, Cumbres Del Lago, Querétaro, QuerétaroVer información de la zona","['Superficie total323 m²', 'Superficie construida277 m²', 'Recámaras4', 'Baños5', 'Estacionamientos4', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Mantenimiento0 MXN']"
9,"Casa En Venta En Queretaro, En Ciudad Del Sol, Punta Norte.  At/05","849,000","Blvrd Peña Flor, Ciudad Del Sol, Santiago De Querétaro, Ciudad del Sol, Querétaro, QuerétaroVer información de la zona","['Superficie total340 m²', 'Superficie construida340 m²', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad7 años', 'Ambientes5', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1,000 MXN']"
10,"¡¡jb-hermosa Propiedad En Cumbres Del Lago, Queretaro Gran Oportunidad De Remate!!","1,350,000","Lago Cuitzeo 202, Cumbres Del Lago, Juriquilla, Cumbres Del Lago, Querétaro, Querétaro","['Superficie total75 m²', 'Superficie construida75 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento1 MXN']"
11,"Eo-12 Lago Patzcuaro, Cumbres Del Lago, Juriquilla, Querétaro","749,000","Lago Patzcuaro, Cumbres Del Lago, Juriquilla, Juriquilla, Querétaro, Querétaro","['Superficie total317 m²', 'Superficie construida317 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad7 años', 'Ambientes5', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1,000 MXN']"
12,"Eo-01 Excelente Casa En Punta Norte. No. 128, Ciudad Del Sol, Santiago De Querétaro, Querétaro.","1,350,000","Santiago De Querétaro, Ciudad del Sol, Querétaro, QuerétaroVer información de la zona","['Superficie total317 m²', 'Superficie construida300 m²', 'Recámaras3', 'Baños1', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad12 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento100 MXN']"
13,"Casa En Venta En Querétaro, Av De Las Ranas, Santiago De Querétaro.   At/02","1,350,000","Av. Mirador De Las Ranas, El Mirador, El Mirador, Querétaro, QuerétaroVer información de la zona","['Superficie total75 m²', 'Superficie construida75 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad12 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento100 MXN']"
14,"Casa En Venta En Querétaro, San José El Alto, Calzada De Belén,  At/03","1,900,000","Calz. De Belén, San José El Alto, San José El Alto, Querétaro, QuerétaroVer información de la zona","['Superficie total123 m²', 'Superficie construida123 m²', 'Recámaras3', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1 MXN']"
15,"Casa En Altozano Querétaro , Colinda Con Área Verde - Flama","930,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total117 m²', 'Superficie construida117 m²', 'Recámaras3', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1 MXN']"
16,Casa Hermosa En Venta En Lucepolis Con 5 Habitaciones,"5,970,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total180 m²', 'Superficie construida220 m²', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
17,Casa En El Refugio   Condominio Con Alberca ,"4,400,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total198 m²', 'Superficie construida274 m²', 'Recámaras5', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Mantenimiento0 MXN']"
18,"Preciosa Casa En Venta En Milenio, Amplia Y Con Jardin!","2,700,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total113 m²', 'Superficie construida127 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Mantenimiento1,200 MXN']"
19,Residencia En Altozano Con Vista Plena Y Colindancia A Área Verde,"4,500,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total232 m²', 'Superficie construida192 m²', 'Recámaras2', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
20,"Casa En Venta En Altozano, Querétaro","11,790,000","Anillo Vial Fray Junípero Serra, Santiago De Querétaro, Altozano el Nuevo Querétaro, Querétaro, QuerétaroVer información de la zona","['Superficie total264 m²', 'Superficie construida343 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Mantenimiento0 MXN']"
21,Casa En Pre-venta (el Mirador),"6,750,000","El Mirador, Querétaro, QuerétaroVer información de la zona","['Superficie total235 m²', 'Superficie construida185 m²', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad1 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento1,900 MXN']"
22,Casa Ciudad Maderas,"3,850,000","El Marques, Querétaro, QuerétaroVer información de la zona","['Superficie total128 m²', 'Superficie construida174 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Mantenimiento0 MXN']"
23,"Rafa, Gran Reserva Preserve, Juriquilla ","3,300,000","Limba, Galindas Residencial, Querétaro, Querétaro","['Superficie total113 m²', 'Superficie construida121 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
24,"Venta De Propiedad En Ciudad Del Sol, Santiago De Queretaro. A10","3,800,000","Blvrd Peña Flor, Ciudad Del Sol, Santiago De Querétaro, Ciudad del Sol, Querétaro, QuerétaroVer información de la zona","['Superficie total160 m²', 'Superficie construida181 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'Tipo de propiedadCasa en condominio', 'Mantenimiento1,100 MXN']"
25,"Eo-11 Casa En Venta En Av. Mirador De Las Ranas, El Mirador, Santiago De Queretaro, Qro","1,350,000","Av. Mirador De Las Ranas, El Mirador, El Mirador, Querétaro, QuerétaroVer información de la zona","['Superficie total75 m²', 'Superficie construida125 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad10 años', 'Ambientes1', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente', 'Mantenimiento100 MXN']"
26,"Casa En Condominio En Venta En Las Fuentes, Querétaro, Querétaro","1,370,000","Mar Caspio, Las Fuentes, Querétaro, QuerétaroVer información de la zona","['Superficie total123 m²', 'Superficie construida123 m²', 'Recámaras3', 'Baños1', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad12 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento100 MXN']"
27,"Casa 4 Rec 4 1/2  Baños Completos, Jacuzzi, Amplio Jardín Con Fuente, 2 Autos.","1,300,000","Sendero Del Nicho  10, Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total28 m²', 'Superficie construida56 m²', 'Recámaras2', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad29 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
28,Venta De Casa En Misión Del Parque 2 Recamaras 1.5 Baños,"5,990,000","Prol. Bernardo Quintana 2901, Geoplazas, Querétaro, QuerétaroVer información de la zona","['Superficie total250 m²', 'Superficie construida220 m²', 'Recámaras4', 'Baños5', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad10 años', 'Cantidad de pisos2', 'Tipo de casaCasa']"
29,Casa Venta Lomas De Juriquilla Queretaro,"1,520,000","Lomas de Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total75.8 m²', 'Superficie construida75.8 m²', 'Recámaras2', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad4 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento350 MXN']"
30, Casa En Venta De 3 Recámaras En Valle De Juriquilla,"3,300,000","Santa Cecilia 121, Valle de Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total250 m²', 'Superficie construida410 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
