,House,Price,Ubication,Features
0,Casa En Renta En La Vista,"3,300,000","La Vista Residencial, Querétaro, QuerétaroVer información de la zona",[]
1,Vendo Casa En Calle Barroco Queretaro,"1,701,770","Barroco 9, Corregidora, Querétaro, QuerétaroVer información de la zona","['Superficie total90 m²', 'Superficie construida90 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes1', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento1 MXN']"
2,Casa Tipo Colonial Mexicano! Recámara Principal En Planta Baja! Villas Del Mesón Juriquilla!,"7,450,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total434 m²', 'Superficie construida376.25 m²', 'Recámaras3', 'Baños3', 'Estacionamientos0', 'Es propiedad en remateNo', 'Antigüedad1 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
3,"Casa Colonial En El Corazón De Juriquilla 5 Recámaras Completas, Una En Planta Baja...","8,999,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total468 m²', 'Superficie construida400 m²', 'Recámaras5', 'Baños4', 'Estacionamientos0', 'Es propiedad en remateNo', 'Antigüedad1 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
4,"Remato Casa En: Prolongación Hacienda La Venta 3, San José, Querétaro, Querétaro.","838,600","Prolongación Hacienda La Venta 3, San José, Querétaro, QuerétaroVer información de la zona","['Superficie total156 m²', 'Superficie construida156 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte']"
5,Real De Juriquilla Casa De 2 Recamaras En Venta Rah1704,"4,600,000","Cascada De Agua Azul 103, 76226 Juriquilla, Qro., Mexico, Real De Juriquilla, Querétaro, Querétaro","['Superficie total256 m²', 'Superficie construida193 m²', 'Recámaras2', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad10 años', 'Cantidad de pisos2', 'Tipo de casaCasa', 'Mantenimiento400 MXN']"
6,Casa En Venta En San Isidro Juriquilla,"3,100,000","Circuito Pizzarra 592, Otros, Querétaro, Querétaro","['Superficie total142.02 m²', 'Superficie construida156 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad1 años', 'Ambientes5', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente', 'Mantenimiento900 MXN']"
7,"Casa De Recuperación Bancaria Adjudicada En Calle Volcán, Cond. Fracc. Ciudad Satélite, Querétaro. ¡no Créditos!","1,325,200","Fuente De Creta, Santa Ana, Santiago De Querétaro, Satélite, Querétaro, QuerétaroVer información de la zona","['Superficie total163 m²', 'Superficie construida76 m²', 'Recámaras2', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad2,013 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1 MXN']"
8,Casa En Venta En Zaru Queretaro,"3,365,000","El Marques, Querétaro, QuerétaroVer información de la zona","['Superficie total108 m²', 'Superficie construida155 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Mantenimiento0 MXN']"
9,Casa Barata En El Tintero Queretaro. Maf,"1,199,000","C. Literatura 1 - 300, Ex-Hacienda El Tintero, Querétaro, QuerétaroVer información de la zona","['Superficie total126 m²', 'Superficie construida120 m²', 'Recámaras3', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1,200 MXN']"
