Unnamed: 0,House,Price,Ubication,Features
0,Casa Estilo Californiano En Zona Céntrica A 5min Del Campanario,"5,800,000","Colinas Del Parque, Querétaro, QuerétaroVer información de la zona",[]
1,Casa Minimalista En Venta,"5,650,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total286 m²', 'Superficie construida314 m²', 'Recámaras4', 'Baños5', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad8 años', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
2,Casa En Venta En Las Haciendas En Ciudad Del Sol,"1,595,000","Casa En Venta En Las Haciendas En Ciudad Del Sol, Querétaro, QuerétaroVer información de la zona","['Superficie total69 m²', 'Superficie construida0 m²', 'Recámaras3', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
3,Casa En Venta En Altozano,"11,190,000","Casa En Venta En Altozano, Querétaro, QuerétaroVer información de la zona","['Superficie total370 m²', 'Superficie construida0 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
4,Iluminada Y Cómoda Casa Oportunidad La Joya Santiago De Querétaro Querétaro México Ojac-02,"790,000","Blvd. Dolores Del Río, La Joya, Querétaro, QuerétaroVer información de la zona","['Superficie total150 m²', 'Superficie construida195 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad18 años', 'Ambientes4', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1 MXN']"
5,"¡¡jb-excelente Propiedad En Cumbres Del Lago Queretaro, Unica Oportunidad De Remate!!","849,000","Lago Eslabón 101, Cumbres Del Lago, Juriquilla, Cumbres Del Lago, Querétaro, QuerétaroVer información de la zona","['Superficie total400 m²', 'Superficie construida400 m²', 'Recámaras5', 'Baños4', 'Estacionamientos4', 'Es propiedad en remateSí', 'Antigüedad7 años', 'Ambientes5', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1,000 MXN']"
6,"¡¡jb-hermosa Casa En Juriquilla Queretaro, Gran Oportunidad De Remate!!","849,000","Cerro El Divisadero 101, Privada Juriquilla, Santa Rosa Jáuregui, Santa Rosa De Jáuregui, Querétaro, QuerétaroVer información de la zona","['Superficie total330 m²', 'Superficie construida330 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad5 años', 'Ambientes5', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente', 'Mantenimiento1,000 MXN']"
7,"Casa En Venta Francisco Frías Alcocer 206 Candiles, Queretaro./ Recuperación Bancaria Laab1","2,400,000","Francisco Frías Alcocer 206, Candiles, Querétaro, QuerétaroVer información de la zona","['Superficie total130 m²', 'Superficie construida220 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad15 años', 'Ambientes0', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
8,"¡¡jb-hermosa Casa En Cumbres Del Lago Queretaro, Unica Oportunidad De Remate!! ","749,000","Lago De Chapala 110, Cumbres Del Lago, Juriquilla, Cumbres Del Lago, Querétaro, QuerétaroVer información de la zona","['Superficie total310 m²', 'Superficie construida310 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad7 años', 'Ambientes5', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1,000 MXN']"
9,"¡¡jb-hermosa Casa En Villas Del Meson Queretaro, Gran Oportunidad De Remate!!","849,000","Hacienda Montenegro 113, Villas Del Mesón, Juriquilla, Villas Del Mesón, Querétaro, QuerétaroVer información de la zona","['Superficie total560 m²', 'Superficie construida560 m²', 'Recámaras4', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad7 años', 'Ambientes5', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1,000 MXN']"
10,"¡¡jb-hermosa Casa En Milenio Tres Queretaro, Gran Oportunidad De Remate!!","849,000","Senda Del Rocío 24, Milenio Iii, Santiago De Querétaro, Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total130 m²', 'Superficie construida130 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad7 años', 'Ambientes5', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1,000 MXN']"
11,"¡¡jb-hermosa Casa En Cumbres Del Lago Queretaro, Grandiosa Oportunidad De Remate!!","849,000","Lago Chacamax 125, Cumbres Del Lago, Juriquilla, Cumbres Del Lago, Querétaro, QuerétaroVer información de la zona","['Superficie total350 m²', 'Superficie construida350 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad7 años', 'Ambientes5', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1,000 MXN']"
12,Casa En Venta Merlin Risco Residencial Venceremos Querétaro/ Recuperación Bancaria Laab1,"2,400,000","Merlin 5, Venceremos, Querétaro, QuerétaroVer información de la zona","['Superficie total170 m²', 'Superficie construida180 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
13,"Casa En Colonia Cuesta Bonita, Querétaro, Querétaro Jr7-di","607,929","P.º Cta. Bonita 70, Cuesta Bonita, Querétaro, QuerétaroVer información de la zona","['Superficie total100 m²', 'Superficie construida130 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento1,200 MXN']"
0,"Gran Oportunidad!!!se Vende Residencia  Casa Del Lago  En Villas Del Mesón, Juriquilla, Querétaro.","31,980,000","Villas Del Mesón, Juriquilla, Villas Del Mesón, Querétaro, QuerétaroVer información de la zona",[]
1,Casa En Venta En Juriquilla Con Cuarto De Servicio Dentro Del Condominio Alenas,"3,350,000","Av. Los Portones 1105, Alenas, Juriquilla, Valle de Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total128 m²', 'Superficie construida168 m²', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad8 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento1,200 MXN']"
2,Residencia En Venta En La Espiga - ¡diseño De Autor Y Lujo!,"8,725,000","Fray Junípero Serra, Querétaro, QuerétaroVer información de la zona","['Superficie total272 m²', 'Superficie construida323 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
3,Diseño Distintivo Con Doble Altura- La Vista Residencial,"10,790,000","La Vista Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total300 m²', 'Superficie construida390 m²', 'Recámaras3', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
4,Esquina Con Doble Frente- La Vista Residencial,"7,000,000","La Vista Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total300 m²', 'Superficie construida300 m²', 'Recámaras3', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
5,Diseño Distintivo Y Vanguardista- Juriquilla,"10,500,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total251 m²', 'Superficie construida334 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
6,Residencia Con Acabados Premium- La Espiga,"11,450,000","Fray Junípero Serra, Querétaro, QuerétaroVer información de la zona","['Superficie total361 m²', 'Superficie construida361 m²', 'Recámaras3', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
7,"Casa En Venta En Ciudad Del Sol, Tu Hogar Ideal En Una Comunidad Segura","1,849,000","Ciudad del Sol, Querétaro, QuerétaroVer información de la zona","['Superficie total112 m²', 'Superficie construida112 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
8,Una Nueva Forma De Vivir- Juriquilla,"4,100,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total211 m²', 'Superficie construida161 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad7 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento1,650 MXN']"
9,"Espacios Funcionales, Roof Garden- Milenio Iii","5,650,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
10,Casa Nueva En Fraccionamiento Nuevo Refugio Querétaro C/ Roof Garden,"5,650,000","El Refugio Residencial, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
