Price,Ubication,Total_Area_m^2,Built_Area_m^2,Bedrooms,Bathrooms,Parking,Neighborhood
5650000,Juriquilla,286,314,4,5,2,JURIQUILLA
1595000,Casa En Venta En Las Haciendas En Ciudad Del Sol,69,0,3,1,1,CIUDAD DEL SOL
11190000,Casa En Venta En Altozano,370,0,4,4,3,ALTOZANO
790000,"Blvd. Dolores Del Rio, La Joya",150,195,3,3,2,LA JOYA
849000,"Lago Eslabon 101, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",400,400,5,4,4,JURIQUILLA
849000,"Cerro El Divisadero 101, Privada Juriquilla, Santa Rosa Jauregui, Santa Rosa De Jauregui",330,330,4,3,2,SANTA ROSA DE JAUREGUI
749000,"Lago De Chapala 110, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",310,310,4,3,2,JURIQUILLA
849000,"Hacienda Montenegro 113, Villas Del Meson, Juriquilla, Villas Del Meson",560,560,4,3,3,VILLAS DEL MESON
849000,"Senda Del Rocio 24, Milenio Iii, , Milenio III",130,130,3,2,2,MILENIO III
849000,"Lago Chacamax 125, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",350,350,4,4,3,JURIQUILLA
607929,"P.º Cta. Bonita 70, Cuesta Bonita",100,130,3,3,2,CUESTA BONITA
3350000,"Av. Los Portones 1105, Alenas, Juriquilla, Valle de Juriquilla",128,168,4,4,2,VALLE DE JURIQUILLA
8725000,Fray Junipero Serra,272,323,4,5,3,FRAY JUNIPERO SERRA
10790000,La Vista Residencial,300,390,3,5,3,LA VISTA RESIDENCIAL
7000000,La Vista Residencial,300,300,3,5,3,LA VISTA RESIDENCIAL
10500000,Juriquilla,251,334,4,5,3,JURIQUILLA
11450000,Fray Junipero Serra,361,361,3,5,3,FRAY JUNIPERO SERRA
1849000,Ciudad del Sol,112,112,3,2,2,CIUDAD DEL SOL
4100000,Juriquilla,211,161,3,2,2,JURIQUILLA
4945000,Juriquilla Santa Fe,162,255,3,5,2,SANTA FE
4850000,"Real De Juriquilla (Paisano), Queretaro, Queretaro",160,255,4,4,2,REAL DE JURIQUILLA (PAISANO)
6435000,Cumbres del Cimatario,206,263,4,4,3,CIMATARIO
4500000,Paseos Del Pedregal,302,304,4,3,3,PASEOS DEL PEDREGAL
6500000,Juriquilla,280,320,3,4,4,JURIQUILLA
11190000,Lomas de Juriquilla,300,370,3,5,3,LOMAS DE JURIQUILLA
5980000,La Vista Residencial,250,286,3,4,3,LA VISTA RESIDENCIAL
6000000,Juriquilla,250,264,4,4,3,JURIQUILLA
12390000,Paseos Del Pedregal,310,405,3,5,3,PASEOS DEL PEDREGAL
