,House,Price,Ubication,Features
0,Residencia De Autor Con Acabados Premium- Altozano,"21,200,000","Altozano, Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
1,Vivir Con Altura- Altozano,"16,450,000","La Condesa, Juriquilla, Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total531 m²', 'Superficie construida450 m²', 'Ambientes9', 'Recámaras4', 'Baños4', 'Estacionamientos4', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
2,"4 Habitaciones, Amplio Jardín- La Condesa Juriquilla","5,722,500","Torre De Piedra Gran Reserva, El Salitre, Querétaro, QuerétaroVer información de la zona","['Superficie total225 m²', 'Superficie construida248 m²', 'Ambientes8', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
3,"Casa En Venta En Torre De Piedra Gran Reserva, Con 3 Habitac","4,200,000","Altozano, Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total126 m²', 'Superficie construida151 m²', 'Ambientes6', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Depósitos0', 'Antigüedad2 años', 'Mantenimiento0 MXN']"
4,"Casa En Venta En Altozano, De 2 Recámaras, Moderna , En Priv","5,990,000","Zibatá, Zibata, El Marqués, QuerétaroVer información de la zona","['Superficie total177 m²', 'Superficie construida211 m²', 'Ambientes5', 'Recámaras2', 'Baños2', 'Estacionamientos2', 'Depósitos0', 'Antigüedad5 años', 'Mantenimiento0 MXN']"
5,"Casa En Venta En Zibatá, De 4 Recámaras Y Roof Garden, Ideal","4,173,000","Zibatá, Zibata, El Marqués, QuerétaroVer información de la zona","['Superficie total108 m²', 'Superficie construida192 m²', 'Ambientes7', 'Recámaras4', 'Baños2', 'Estacionamientos2', 'Depósitos0', 'Antigüedad7 años', 'Mantenimiento0 MXN']"
6,"Casa En Venta En Zibatá, Con 4 Habitaciones Y Cuarto De Serv","9,500,000","Zibatá, Zibata, El Marqués, QuerétaroVer información de la zona","['Superficie total299 m²', 'Superficie construida480 m²', 'Ambientes12', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Depósitos0', 'Antigüedad5 años', 'Mantenimiento0 MXN']"
7,"Casa En Venta En Zibatá, Estilo México  Contemporánea, De 3","9,500,000","Altozano, Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total300 m²', 'Superficie construida400 m²', 'Ambientes6', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Depósitos0', 'Antigüedad4 años', 'Mantenimiento0 MXN']"
8,Residencia Con Acabados Premium - Altozano,"9,800,000","Jurica, Jurica, Querétaro, QuerétaroVer información de la zona","['Superficie total250 m²', 'Superficie construida340 m²', 'Ambientes7', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Depósitos0', 'Antigüedad3 años', 'Mantenimiento0 MXN']"
9,Residencia Con Amplios Espacios-jurica,"22,000,000","Zibatá, Zibata, El Marqués, QuerétaroVer información de la zona","['Superficie total1200 m²', 'Superficie construida1000 m²', 'Ambientes12', 'Recámaras5', 'Baños6', 'Estacionamientos10', 'Depósitos0', 'Antigüedad24 años', 'Mantenimiento0 MXN']"
10,Increíble Casa De Autor- Zibatá,"5,597,000","La Vista Residencial, La Vista Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total208 m²', 'Superficie construida222 m²', 'Ambientes8', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
11,Doble Altura- Amplio Jardín- La Vista Residencial,"9,200,000","Lomas De La Vista, La Vista Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total250 m²', 'Superficie construida350 m²', 'Ambientes8', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
12,Amplio Jardín Con Terraza- La Vista Residencial,"7,300,000","Cactus, Zibata, El Marqués, QuerétaroVer información de la zona","['Superficie total261 m²', 'Superficie construida303 m²', 'Ambientes8', 'Recámaras3', 'Baños5', 'Estacionamientos2', 'Depósitos0', 'Antigüedad2 años', 'Mantenimiento0 MXN']"
13,Exclusividad Y Confort- Zibatá,"6,890,000","Altozano, Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total260 m²', 'Superficie construida284 m²', 'Ambientes11', 'Recámaras4', 'Baños6', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
14,La Vida Que Deseas- Altozano,"7,280,000","Lomas Del Campanario Norte, El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total200 m²', 'Superficie construida280 m²', 'Ambientes8', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
15,Vive En Plenitud - Lomas Del Campanario Norte,"8,299,800","Altozano, Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total237 m²', 'Superficie construida291 m²', 'Ambientes8', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
16,Nuevas Emociones- Altozano,"6,600,000","Río, Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total182 m²', 'Superficie construida242 m²', 'Ambientes8', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
17,Residencia Con Acabados Premium- Altozano,"18,500,000","Altozano, Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total564 m²', 'Superficie construida469 m²', 'Ambientes10', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Depósitos0', 'Antigüedad2 años', 'Mantenimiento0 MXN']"
18,Una Vida Excepcional- Altozano,"5,850,000","La Vista Residencial, La Vista Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total180 m²', 'Superficie construida242 m²', 'Ambientes7', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
19,La Vida Que Deseas- La Vista Residencial,"5,300,000","Cañadas Del Arroyo, Cañadas del Lago, Corregidora, Querétaro","['Superficie total194 m²', 'Superficie construida240 m²', 'Ambientes9', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
