Price,Total_Area_m^2,Built_Area_m^2,Bedrooms,Bathrooms,Parking,Neighborhood
5650000.0,314.0,286.0,4.0,5.0,2.0,JURIQUILLA
1595000.0,69.0,0.0,3.0,1.0,1.0,CIUDAD DEL SOL
11190000.0,370.0,0.0,4.0,4.0,3.0,ALTOZANO
790000.0,195.0,150.0,3.0,3.0,2.0,LA JOYA
849000.0,400.0,400.0,5.0,4.0,4.0,JURIQUILLA
849000.0,330.0,330.0,4.0,3.0,2.0,SANTA ROSA DE JAUREGUI
749000.0,310.0,310.0,4.0,3.0,2.0,JURIQUILLA
849000.0,560.0,560.0,4.0,3.0,3.0,VILLAS DEL MESON
849000.0,130.0,130.0,3.0,2.0,2.0,MILENIO III
849000.0,350.0,350.0,4.0,4.0,3.0,JURIQUILLA
607929.0,130.0,100.0,3.0,3.0,2.0,CUESTA BONITA
3350000.0,168.0,128.0,4.0,4.0,2.0,VALLE DE JURIQUILLA
8725000.0,323.0,272.0,4.0,5.0,3.0,FRAY JUNIPERO SERRA
10790000.0,390.0,300.0,3.0,5.0,3.0,LA VISTA RESIDENCIAL
7000000.0,300.0,300.0,3.0,5.0,3.0,LA VISTA RESIDENCIAL
10500000.0,334.0,251.0,4.0,5.0,3.0,JURIQUILLA
11450000.0,361.0,361.0,3.0,5.0,3.0,FRAY JUNIPERO SERRA
1849000.0,112.0,112.0,3.0,2.0,2.0,CIUDAD DEL SOL
4100000.0,211.0,161.0,3.0,2.0,2.0,JURIQUILLA
4945000.0,255.0,162.0,3.0,5.0,2.0,SANTA FE
4850000.0,255.0,160.0,4.0,4.0,2.0,REAL DE JURIQUILLA (PAISANO)
6435000.0,263.0,206.0,4.0,4.0,3.0,CIMATARIO
4500000.0,304.0,302.0,4.0,3.0,3.0,PASEOS DEL PEDREGAL
6500000.0,320.0,280.0,3.0,4.0,4.0,JURIQUILLA
11190000.0,370.0,300.0,3.0,5.0,3.0,LOMAS DE JURIQUILLA
5980000.0,286.0,250.0,3.0,4.0,3.0,LA VISTA RESIDENCIAL
6000000.0,264.0,250.0,4.0,4.0,3.0,JURIQUILLA
12390000.0,405.0,310.0,3.0,5.0,3.0,PASEOS DEL PEDREGAL
10500000.0,512.0,366.0,3.0,3.0,3.0,EL CAMPANARIO
7040000.0,270.0,200.0,3.0,3.0,2.0,PASEOS DEL PEDREGAL
11200000.0,350.0,300.0,4.0,5.0,3.0,EL CAMPANARIO
7399000.0,272.0,200.0,3.0,4.0,3.0,CUMBRES DEL LAGO
4250000.0,177.0,122.0,3.0,3.0,2.0,EL REFUGIO
10500000.0,505.0,300.0,3.0,4.0,3.0,EL REFUGIO
4250000.0,193.0,146.0,3.0,3.0,2.0,EL CAMPANARIO
4990000.0,200.0,164.0,3.0,3.0,2.0,MILENIO III
19000000.0,723.0,652.0,5.0,6.0,8.0,MILENIO III
5150000.0,213.0,200.0,3.0,3.0,3.0,PASEOS DEL PEDREGAL
4750000.0,212.0,162.0,3.0,4.0,2.0,EL CAMPANARIO
7050000.0,275.0,211.0,3.0,2.0,3.0,NUEVO JURIQUILLA
8162000.0,274.0,235.0,3.0,5.0,3.0,EL REFUGIO
